FIPS,Name,State,Population,cma,bta,mta,rpc,bea,mea,rea,eag,vpc,psr
1001,Autauga,AL,55395,139,305,29,4,79,24,4,3,4,1
1003,Baldwin,AL,200111,83,302,17,4,80,27,4,3,4,1
1005,Barbour,AL,26887,314,92,11,2,36,24,4,3,4,1
1007,Bibb,AL,22506,310,44,29,4,78,24,4,3,4,1
1009,Blount,AL,57719,307,44,29,4,78,24,4,3,4,1
1011,Bullock,AL,10764,314,305,29,4,79,24,4,3,4,1
1013,Butler,AL,20296,313,305,29,4,79,24,4,3,4,1
1015,Calhoun,AL,115916,249,17,29,4,78,24,4,3,4,1
1017,Chambers,AL,34076,311,334,11,2,40,8,2,3,3,1
1019,Cherokee,AL,26037,308,158,29,4,40,8,2,3,3,1
1021,Chilton,AL,43931,310,44,29,4,78,24,4,3,4,1
1023,Choctaw,AL,13323,309,292,28,4,77,26,4,3,4,1
1025,Clarke,AL,24945,312,302,17,4,80,27,4,3,4,1
1027,Clay,AL,13552,311,17,29,4,39,8,2,3,4,1
1029,Cleburne,AL,15080,311,17,29,4,40,8,2,3,3,1
1031,Coffee,AL,50909,313,115,29,4,36,24,4,3,4,1
1033,Colbert,AL,54543,226,146,29,4,74,24,4,3,4,1
1035,Conecuh,AL,12670,312,302,17,4,80,27,4,3,4,1
1037,Coosa,AL,10886,311,44,29,4,39,8,2,3,4,1
1039,Covington,AL,37914,313,305,29,4,36,24,4,3,4,1
1041,Crenshaw,AL,13977,313,305,29,4,79,24,4,3,4,1
1043,Cullman,AL,81289,307,44,29,4,78,24,4,3,4,1
1045,Dale,AL,49484,246,115,29,4,36,24,4,3,4,1
1047,Dallas,AL,41711,310,415,29,4,79,24,4,3,4,1
1049,DeKalb,AL,71065,308,158,29,4,74,24,4,3,4,1
1051,Elmore,AL,80977,139,305,29,4,79,24,4,3,4,1
1053,Escambia,AL,37733,312,302,17,4,80,27,4,3,4,1
1055,Etowah,AL,103531,272,158,29,4,74,24,4,3,4,1
1057,Fayette,AL,16874,309,450,29,4,78,24,4,3,4,1
1059,Franklin,AL,31601,307,146,29,4,74,24,4,3,4,1
1061,Geneva,AL,26712,313,115,29,4,36,24,4,3,4,1
1063,Greene,AL,8553,309,450,29,4,77,26,4,3,4,1
1065,Hale,AL,15184,309,450,29,4,78,24,4,3,4,1
1067,Henry,AL,17190,314,115,29,4,36,24,4,3,4,1
1069,Houston,AL,104193,246,115,29,4,36,24,4,3,4,1
1071,Jackson,AL,52665,308,198,29,4,74,24,4,3,4,1
1073,Jefferson,AL,660793,41,44,29,4,78,24,4,3,4,1
1075,Lamar,AL,14086,309,94,28,4,75,26,4,3,4,1
1077,Lauderdale,AL,93096,226,146,29,4,74,24,4,3,4,1
1079,Lawrence,AL,33477,307,108,29,4,74,24,4,3,4,1
1081,Lee,AL,154255,314,334,11,2,39,8,2,3,4,1
1083,Limestone,AL,90787,120,198,29,4,74,24,4,3,4,1
1085,Lowndes,AL,10580,310,305,29,4,79,24,4,3,4,1
1087,Macon,AL,19425,314,305,29,4,39,8,2,3,4,1
1089,Madison,AL,350299,120,198,29,4,74,24,4,3,4,1
1091,Marengo,AL,20110,309,450,29,4,77,26,4,3,4,1
1093,Marion,AL,30271,307,44,29,4,78,24,4,3,4,1
1095,Marshall,AL,94636,120,198,29,4,74,24,4,3,4,1
1097,Mobile,AL,415123,83,302,17,4,80,27,4,3,4,1
1099,Monroe,AL,21947,312,302,17,4,80,27,4,3,4,1
1101,Montgomery,AL,226189,139,305,29,4,79,24,4,3,4,1
1103,Morgan,AL,119607,307,108,29,4,74,24,4,3,4,1
1105,Perry,AL,9826,310,415,29,4,79,24,4,3,4,1
1107,Pickens,AL,20365,309,450,29,4,75,26,4,3,4,1
1109,Pike,AL,33389,313,305,29,4,79,24,4,3,4,1
1111,Randolph,AL,22539,311,17,29,4,40,8,2,3,3,1
1113,Russell,AL,59608,153,92,11,2,39,8,2,3,4,1
1115,St. Clair,AL,86697,41,44,29,4,78,24,4,3,4,1
1117,Shelby,AL,206655,41,44,29,4,78,24,4,3,4,1
1119,Sumter,AL,13166,309,292,28,4,77,26,4,3,4,1
1121,Talladega,AL,81322,311,44,29,4,78,24,4,3,4,1
1123,Tallapoosa,AL,41165,311,44,29,4,39,8,2,3,4,1
1125,Tuscaloosa,AL,202212,222,450,29,4,78,24,4,3,4,1
1127,Walker,AL,65471,41,44,29,4,78,24,4,3,4,1
1129,Washington,AL,16834,312,302,17,4,80,27,4,3,4,1
1131,Wilcox,AL,11098,310,415,29,4,80,27,4,3,4,1
1133,Winston,AL,24150,307,44,29,4,78,24,4,3,4,1
2013,Aleutians East Borough,AK,3360,316,14,49,5,171,47,7,6,9,2
2016,Aleutians West Census Area,AK,5750,316,14,49,5,171,47,7,6,9,2
2020,Anchorage Borough,AK,301010,187,14,49,5,171,47,7,6,9,2
2050,Bethel Census Area,AK,17868,316,14,49,5,171,47,7,6,9,2
2060,Bristol Bay Borough,AK,957,316,14,49,5,171,47,7,6,9,2
2070,Dillingham Census Area,AK,4988,316,14,49,5,171,47,7,6,9,2
2090,Fairbanks North Star Borough,AK,99357,315,136,49,5,171,47,7,6,9,2
2100,Haines Borough,AK,2566,317,221,49,5,171,47,7,6,9,2
2110,Juneau Borough,AK,32406,317,221,49,5,171,47,7,6,9,2
2122,Kenai Peninsula Borough,AK,57477,316,14,49,5,171,47,7,6,9,2
2130,Ketchikan Gateway Borough,AK,13787,317,221,49,5,171,47,7,6,9,2
2150,Kodiak Island Borough,AK,13986,316,14,49,5,171,47,7,6,9,2
2164,Lake and Peninsula Borough,AK,1631,316,14,49,5,171,47,7,6,9,2
2170,Matanuska-Susitna Borough,AK,97882,316,14,49,5,171,47,7,6,9,2
2180,Nome Census Area,AK,9817,315,14,49,5,171,47,7,6,9,2
2185,North Slope Borough,AK,9703,315,14,49,5,171,47,7,6,9,2
2188,Northwest Arctic Borough,AK,7717,315,14,49,5,171,47,7,6,9,2
2201,Prince of Wales-Outer Ketchika,AK,6396,317,221,49,5,171,47,7,6,9,2
2220,Sitka Borough,AK,8900,317,221,49,5,171,47,7,6,9,2
2231,Skagway-Yakutat-Angoon Borough,AK,1036,317,221,49,5,171,47,7,6,9,2
2240,Southeast Fairbanks Census Area,AK,6931,315,136,49,5,171,47,7,6,9,2
2261,Valdez-Cordova Census Area,AK,9488,316,14,49,5,171,47,7,6,9,2
2270,Wade Hampton Census Area,AK,8010,315,14,49,5,171,47,7,6,9,2
2280,Wrangell-Petersburg Census Are,AK,2364,317,221,49,5,171,47,7,6,9,2
2290,Yukon-Koyukuk Census Area,AK,5547,315,136,49,5,171,47,7,6,9,2
4001,Apache,AZ,71828,320,162,39,4,156,39,5,5,39,3
4003,Cochise,AZ,127448,323,420,27,5,159,40,5,5,42,3
4005,Coconino,AZ,137682,319,144,27,5,154,40,5,5,37,3
4007,Gila,AZ,53119,322,347,27,5,158,40,5,5,41,3
4009,Graham,AZ,37957,323,347,27,5,158,40,5,5,41,3
4011,Greenlee,AZ,9346,323,347,27,5,158,40,5,5,41,3
4012,La Paz,AZ,20231,321,347,27,5,160,44,6,6,6,3
4013,Maricopa,AZ,4087191,26,347,27,5,158,40,5,5,41,3
4015,Mohave,AZ,203361,318,245,2,5,153,44,6,6,36,3
4017,Navajo,AZ,108101,320,347,27,5,154,40,5,5,37,3
4019,Pima,AZ,1004516,77,447,27,5,159,40,5,5,42,3
4021,Pinal,AZ,401918,322,347,27,5,158,40,5,5,41,3
4023,Santa Cruz,AZ,46695,323,322,27,5,159,40,5,5,42,3
4025,Yavapai,AZ,218844,319,362,27,5,154,40,5,5,37,3
4027,Yuma,AZ,203247,321,486,27,5,160,44,6,6,6,3
5001,Arkansas,AR,18594,328,257,40,4,90,28,4,3,4,4
5003,Ashley,AR,20948,335,304,7,4,90,28,4,3,4,4
5005,Baxter,AR,40857,325,257,40,4,90,28,4,3,4,4
5007,Benton,AR,242321,182,140,40,4,92,28,4,5,4,4
5009,Boone,AR,37196,324,182,40,4,90,28,4,3,4,4
5011,Bradley,AR,11148,335,348,40,4,90,28,4,3,4,4
5013,Calhoun,AR,5202,335,125,40,4,90,28,4,3,4,4
5015,Carroll,AR,27744,324,182,40,4,90,28,4,3,4,4
5017,Chicot,AR,11180,335,175,28,4,90,28,4,3,4,4
5019,Clark,AR,22576,333,257,40,4,90,28,4,3,4,4
5021,Clay,AR,15118,327,355,19,4,95,28,4,3,4,4
5023,Cleburne,AR,25634,329,257,40,4,90,28,4,3,4,4
5025,Cleveland,AR,8449,335,348,40,4,90,28,4,3,4,4
5027,Columbia,AR,23933,334,125,40,4,88,32,5,3,4,4
5029,Conway,AR,21083,330,257,40,4,90,28,4,3,4,4
5031,Craighead,AR,102518,327,219,40,4,95,28,4,3,4,4
5033,Crawford,AR,61697,165,153,40,4,91,28,4,5,4,4
5035,Crittenden,AR,49548,36,290,28,4,73,26,4,3,4,4
5037,Cross,AR,17227,328,290,28,4,73,26,4,3,4,4
5039,Dallas,AR,7755,333,257,40,4,90,28,4,3,4,4
5041,Desha,AR,12264,335,348,40,4,90,28,4,3,4,4
5043,Drew,AR,18622,335,348,40,4,90,28,4,3,4,4
5045,Faulkner,AR,120768,92,257,40,4,90,28,4,3,4,4
5047,Franklin,AR,17805,331,153,40,4,91,28,4,5,4,4
5049,Fulton,AR,12125,325,470,19,4,90,28,4,3,4,4
5051,Garland,AR,97322,333,193,40,4,90,28,4,3,4,4
5053,Grant,AR,18144,333,257,40,4,90,28,4,3,4,4
5055,Greene,AR,43694,327,219,40,4,95,28,4,3,4,4
5057,Hempstead,AR,22327,334,443,7,4,90,28,4,3,4,4
5059,Hot Spring,AR,33368,333,193,40,4,90,28,4,3,4,4
5061,Howard,AR,13500,332,443,7,4,90,28,4,3,4,4
5063,Independence,AR,36959,326,257,40,4,90,28,4,3,4,4
5065,Izard,AR,13486,325,257,40,4,90,28,4,3,4,4
5067,Jackson,AR,17534,326,257,40,4,90,28,4,3,4,4
5069,Jefferson,AR,72297,291,348,40,4,90,28,4,3,4,4
5071,Johnson,AR,26005,331,387,40,4,90,28,4,3,4,4
5073,Lafayette,AR,7111,334,443,7,4,88,32,5,3,4,4
5075,Lawrence,AR,16931,326,219,40,4,95,28,4,3,4,4
5077,Lee,AR,9860,328,290,28,4,73,26,4,3,4,4
5079,Lincoln,AR,13970,335,348,40,4,90,28,4,3,4,4
5081,Little River,AR,12532,240,443,7,4,127,32,5,5,4,4
5083,Logan,AR,21958,331,153,40,4,91,28,4,5,4,4
5085,Lonoke,AR,71557,92,257,40,4,90,28,4,3,4,4
5087,Madison,AR,15740,324,140,40,4,92,28,4,5,4,4
5089,Marion,AR,16367,325,182,40,4,90,28,4,3,4,4
5091,Miller,AR,43428,240,443,7,4,127,32,5,5,4,4
5093,Mississippi,AR,44235,327,49,28,4,95,28,4,3,4,4
5095,Monroe,AR,7582,328,257,40,4,90,28,4,3,4,4
5097,Montgomery,AR,9082,332,193,40,4,90,28,4,3,4,4
5099,Nevada,AR,8723,334,257,40,4,90,28,4,3,4,4
5101,Newton,AR,7904,324,182,40,4,90,28,4,3,4,4
5103,Ouachita,AR,24828,335,125,40,4,90,28,4,3,4,4
5105,Perry,AR,10245,330,257,40,4,90,28,4,3,4,4
5107,Phillips,AR,19930,328,290,28,4,73,26,4,3,4,4
5109,Pike,AR,11024,332,193,40,4,90,28,4,3,4,4
5111,Poinsett,AR,24246,327,219,40,4,95,28,4,3,4,4
5113,Polk,AR,20225,332,153,40,4,127,32,5,5,4,4
5115,Pope,AR,63201,330,387,40,4,90,28,4,3,4,4
5117,Prairie,AR,8304,329,257,40,4,90,28,4,3,4,4
5119,Pulaski,AR,392702,92,257,40,4,90,28,4,3,4,4
5121,Randolph,AR,17571,326,219,40,4,95,28,4,3,4,4
5123,St. Francis,AR,26899,328,290,28,4,73,26,4,3,4,4
5125,Saline,AR,115719,92,257,40,4,90,28,4,3,4,4
5127,Scott,AR,10693,331,153,40,4,91,28,4,5,4,4
5129,Searcy,AR,7929,325,182,40,4,90,28,4,3,4,4
5131,Sebastian,AR,126776,165,153,40,4,91,28,4,5,4,4
5133,Sevier,AR,17426,332,443,7,4,127,32,5,5,4,4
5135,Sharp,AR,16906,326,257,40,4,90,28,4,3,4,4
5137,Stone,AR,12494,325,257,40,4,90,28,4,3,4,4
5139,Union,AR,40227,335,125,40,4,90,28,4,3,4,4
5141,Van Buren,AR,16851,330,257,40,4,90,28,4,3,4,4
5143,Washington,AR,220792,182,140,40,4,92,28,4,5,4,4
5145,White,AR,78592,329,257,40,4,90,28,4,3,4,4
5147,Woodruff,AR,6910,329,257,40,4,90,28,4,3,4,4
5149,Yell,AR,21951,330,387,40,4,90,28,4,3,4,4
6001,Alameda,CA,1610921,7,404,4,5,163,43,6,6,6,6
6003,Alpine,CA,1116,338,372,4,5,151,43,6,6,34,6
6005,Amador,CA,36742,338,389,4,5,164,43,6,6,6,6
6007,Butte,CA,224241,215,79,4,5,164,43,6,6,6,6
6009,Calaveras,CA,44624,338,434,4,5,163,43,6,6,6,6
6011,Colusa,CA,21419,343,389,4,5,164,43,6,6,6,6
6013,Contra Costa,CA,1111339,7,404,4,5,163,43,6,6,6,6
6015,Del Norte,CA,27212,336,134,4,5,166,45,6,6,7,6
6017,El Dorado,CA,183087,346,389,4,5,164,43,6,6,6,6
6019,Fresno,CA,965974,74,157,4,5,162,43,6,6,6,6
6021,Glenn,CA,27955,343,79,4,5,164,43,6,6,6,6
6023,Humboldt,CA,134809,336,134,4,5,163,43,6,6,6,6
6025,Imperial,CA,179091,342,124,2,5,160,44,6,6,6,5
6027,Inyo,CA,18410,341,262,2,5,151,43,6,6,34,6
