Auction_id,Auction_Desc,bip_id,EA,Block,bip_desc,bidder_name,% Disc.,Round of bid,bid_amt,net_bid_amt
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E010-A,E010,A,New York-No. New Jer.-Long Isl,NextelLice,0%,8,179000,179000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E160-A,E160,A,Los Angeles-Riverside-Orange C,NextelLice,0%,10,119000,119000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E064-A,E064,A,"Chicago-Gary-Kenosha, IL-IN-WI",NextelLice,0%,17,70000,70000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E163-A,E163,A,San Francisco-Oakland-San Jose,NextelLice,0%,6,60000,60000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E013-A,E013,A,"Washington-Baltimore, DC-MD-VA",NextelLice,0%,23,41000,41000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E003-A,E003,A,Boston-Worcester-Lawrence-Lowe,NextelLice,0%,16,143000,143000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E012-A,E012,A,Philadelphia-Wilmington-Atl. C,NextelLice,0%,71,133000,133000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E057-A,E057,A,"Detroit-Ann Arbor-Flint, MI",NextelLice,0%,71,76000,76000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E127-A,E127,A,"Dallas-Fort Worth, TX-AR-OK",NextelLice,0%,76,261000,261000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E131-A,E131,A,"Houston-Galveston-Brazoria, TX",NextelLice,0%,1,22839,22839
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E055-A,E055,A,"Cleveland-Akron, OH-PA",NextelLice,0%,51,142000,142000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E031-A,E031,A,"Miami-Fort Lauderdale, FL",NextelLice,0%,67,91000,91000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E040-A,E040,A,"Atlanta, GA-AL-NC",NextelLice,0%,80,87000,87000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E107-A,E107,A,"Minneapolis-St. Paul, MN-WI-IA",NextelLice,0%,47,37000,37000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E174-A,E174,A,Puerto Rico & Virgin Isl.,HighTechCo,25%,44,1577000,1182750
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E170-A,E170,A,"Seattle-Tacoma-Bremerton, WA",NextelLice,0%,36,74000,74000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E096-A,E096,A,"St. Louis, MO-IL",NextelLice,0%,18,73000,73000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E141-A,E141,A,"Denver-Boulder-Greeley, CO-KS-",NextelLice,0%,129,26000,26000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E053-A,E053,A,"Pittsburgh, PA-WV",NextelLice,0%,59,402000,402000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E030-A,E030,A,"Orlando, FL",NextelLice,0%,39,25000,25000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E067-A,E067,A,"Indianapolis, IN-IL",NextelLice,0%,17,38000,38000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E161-A,E161,A,"San Diego, CA",NextelLice,0%,5,25000,25000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E158-A,E158,A,"Phoenix-Mesa, AZ-NM",NextelLice,0%,18,18000,18000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E167-A,E167,A,"Portland-Salem, OR-WA",NextelLice,0%,162,197000,197000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E099-A,E099,A,"Kansas City, MO-KS",NextelLice,0%,160,24000,24000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E063-A,E063,A,"Milwaukee-Racine, WI",NextelLice,0%,136,24000,24000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E051-A,E051,A,"Columbus, OH",NextelLice,0%,15,63000,63000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E034-A,E034,A,Tampa-St. Petersburg-Clearwate,NextelLice,0%,59,20000,20000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E049-A,E049,A,"Cincinnati-Hamilton, OH-KY-IN",NextelLice,0%,75,25000,25000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E071-A,E071,A,"Nashville, TN-KY",NextelLice,0%,62,17000,17000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E164-A,E164,A,"Sacramento-Yolo, CA",NextelLice,0%,141,98000,98000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E006-A,E006,A,"Syracuse, NY-PA",NextelLice,0%,53,28000,28000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E134-A,E134,A,"San Antonio, TX",NextelLice,0%,79,56000,56000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E047-A,E047,A,"Lexington, KY-TN-VA-WV",NextelLice,0%,77,19000,19000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E073-A,E073,A,"Memphis, TN-AR-MS-KY",NextelLice,0%,42,40000,40000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E062-A,E062,A,"Grand Rapids-Muskegon-Holland,",NextelLice,0%,111,13000,13000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E152-A,E152,A,"Salt Lake City-Ogden, UT-ID",NextelLice,0%,41,216000,216000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E083-A,E083,A,"New Orleans, LA-MS",NextelLice,0%,133,21000,21000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E023-A,E023,A,"Charlotte-Gastonia-Rock Hill,",NextelLice,0%,174,31000,31000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E100-A,E100,A,"Des Moines, IA-IL-MO",NextelLice,0%,46,59000,59000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E018-A,E018,A,Greensboro-Winston-Salem-High,NextelLice,0%,53,79000,79000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E020-A,E020,A,Norfolk-Virginia Beach-Newport,NextelLice,0%,36,48000,48000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E029-A,E029,A,"Jacksonville, FL-GA",NextelLice,0%,71,129000,129000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E125-A,E125,A,"Oklahoma City, OK",NextelLice,0%,36,32000,32000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E008-A,E008,A,"Buffalo-Niagara Falls, NY-PA",NextelLice,0%,59,17000,17000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E007-A,E007,A,"Rochester, NY-PA",NextelLice,0%,109,15000,15000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E078-A,E078,A,"Birmingham, AL",SouthernCo,0%,81,205000,205000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E090-A,E090,A,"Little Rock-North Little Rock,",NextelLice,0%,33,231000,231000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E019-A,E019,A,"Raleigh-Durham-Chapel Hill, NC",NextelLice,0%,53,94000,94000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E077-A,E077,A,"Jackson, MS-AL-LA",NextelLice,0%,80,158000,158000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E070-A,E070,A,"Louisville, KY-IN",NextelLice,0%,154,16000,16000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E056-A,E056,A,"Toledo, OH",NextelLice,0%,91,15000,15000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E124-A,E124,A,"Tulsa, OK-KS",NextelLice,0%,138,21000,21000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E015-A,E015,A,"Richmond-Petersburg, VA",NextelLice,0%,73,87000,87000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E048-A,E048,A,"Charleston, WV-KY-OH",NextelLice,0%,35,14000,14000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E162-A,E162,A,"Fresno, CA",NextelLice,0%,162,24000,24000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E005-A,E005,A,"Albany-Schenectady-Troy, NY",NextelLice,0%,154,610000,610000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E050-A,E050,A,"Dayton-Springfield, OH",NextelLice,0%,91,12000,12000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E172-A,E172,A,"Honolulu, HI",MountainSM,35%,145,474000,308100
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E122-A,E122,A,"Wichita, KS-OK",NextelLice,0%,158,22000,22000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E041-A,E041,A,Greenville-Spartanburg-Anderso,NextelLice,0%,96,23000,23000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E011-A,E011,A,"Harrisburg-Lebanon-Carlisle, P",NextelLice,0%,176,22000,22000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E118-A,E118,A,"Omaha, NE-IA-MO",NextelLice,0%,157,35000,35000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E153-A,E153,A,"Las Vegas, NV-AZ-UT",NextelLice,0%,156,348000,348000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E130-A,E130,A,"Austin-San Marcos, TX",NextelLice,0%,21,53000,53000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E074-A,E074,A,"Huntsville, AL-TN",SouthernCo,0%,81,97000,97000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E065-A,E065,A,"Elkhart-Goshen, IN-MI",NextelLice,0%,123,33000,33000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E044-A,E044,A,"Knoxville, TN",NextelLice,0%,107,70000,70000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E104-A,E104,A,"Madison, WI-IA-IL",NextelLice,0%,46,104000,104000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E069-A,E069,A,"Evansville-Henderson, IN-KY-IL",NextelLice,0%,114,21000,21000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E024-A,E024,A,"Columbia, SC",NextelLice,0%,121,26000,26000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E157-A,E157,A,"El Paso, TX-NM",NextelLice,0%,91,43000,43000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E009-A,E009,A,"State College, PA",NextelLice,0%,107,61000,61000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E159-A,E159,A,"Tucson, AZ",NextelLice,0%,116,26000,26000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E156-A,E156,A,"Albuquerque, NM-AZ",NextelLice,0%,154,196000,196000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E017-A,E017,A,"Roanoke, VA-NC-WV",NextelLice,0%,106,107000,107000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E021-A,E021,A,"Greenville, NC",NextelLice,0%,114,81000,81000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E025-A,E025,A,"Wilmington, NC-SC",NextelLice,0%,32,20000,20000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E094-A,E094,A,"Springfield, MO",NextelLice,0%,53,114000,114000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E133-A,E133,A,"McAllen-Edinburg-Mission, TX",NextelLice,0%,144,23000,23000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E002-A,E002,A,"Portland, ME",NextelLice,0%,70,29000,29000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E147-A,E147,A,"Spokane, WA-ID",NextelLice,0%,152,287000,287000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E166-A,E166,A,"Eugene-Springfield, OR-CA",NevadaWire,35%,142,53000,34450
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E038-A,E038,A,"Macon, GA",NextelLice,0%,119,121000,121000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E066-A,E066,A,"Fort Wayne, IN",NextelLice,0%,122,35000,35000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E084-A,E084,A,"Baton Rouge, LA-MS",NextelLice,0%,167,20000,20000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E043-A,E043,A,"Chattanooga, TN-GA",NextelLice,0%,93,49000,49000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E059-A,E059,A,"Green Bay, WI-MI",NextelLice,0%,15,24000,24000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E033-A,E033,A,"Sarasota-Bradenton, FL",NextelLice,0%,122,43000,43000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E068-A,E068,A,"Champaign-Urbana, IL",NextelLice,0%,60,61000,61000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E035-A,E035,A,"Tallahassee, FL-GA",Porta-Phon,0%,231,485000,485000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E080-A,E080,A,"Mobile, AL",SouthernCo,0%,81,173000,173000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E075-A,E075,A,"Tupelo, MS-AL-TN",SouthernCo,0%,81,72000,72000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E004-A,E004,A,"Burlington, VT-NY",NextelLice,0%,70,84000,84000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E088-A,E088,A,"Shreveport-Bossier City, LA-AR",NextelLice,0%,164,11000,11000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E085-A,E085,A,"Lafayette, LA",NextelLice,0%,164,12000,12000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E028-A,E028,A,"Savannah, GA-SC",NextelLice,0%,88,43000,43000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E171-A,E171,A,"Anchorage, AK",NextelLice,0%,51,160000,160000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E102-A,E102,A,"Davenport-Moline-Rock Island,",NextelLice,0%,46,17000,17000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E169-A,E169,A,"Richland-Kennewick-Pasco, WA",NevadaWire,35%,167,55000,35750
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E026-A,E026,A,"Charleston-North Charleston, S",NextelLice,0%,176,20000,20000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E027-A,E027,A,"Augusta-Aiken, GA-SC",NextelLice,0%,91,135000,135000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E001-A,E001,A,"Bangor, ME",NextelLice,0%,70,28000,28000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E045-A,E045,A,Johnson City-Kingsport-Bristol,NextelLice,0%,178,12000,12000
16,800 MHz Specialized Mobile Radio Service (SMR),YC-E101-A,E101,A,"Peoria-Pekin, IL",SupremeRad,35%,35,66000,42900
