Auction_id,Auction_Desc,Round,bip_name,License Name,License Size,bip_desc,bidder_name,Round of High Bid,bid_amt,net_bid_amt,Bidding Credit,Increments of Bid,Prev High Bidder,Round of Prev High Bid,Prev Gross,Prev Net,Prev Bidding Credit,Bids,Min Acceptable Bid,Population
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA001-D,YCBEA001D,1.25,"Bangor, ME",Nextel Spectrum Acquisition Corp.,31,4400,4400,-,0,Winsome Paging Inc.,30,"$3,700","$2,405",0.35,-,"$4,800.00","533,135.00"
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA001-DD,YCBEA001DD,1.25,"Bangor, ME",Nextel Spectrum Acquisition Corp.,34,4400,4400,-,0,Winsome Paging Inc.,33,"$3,700","$2,405",0.35,-,"$4,800.00","533,135.00"
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA001-E,YCBEA001E,1.25,"Bangor, ME",Nextel Spectrum Acquisition Corp.,1,2700,2700,-,0,FCC,-,-,-,-,-,"$3,000.00","533,135.00"
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA001-EE,YCBEA001EE,1.25,"Bangor, ME",Nextel Spectrum Acquisition Corp.,1,2700,2700,-,0,FCC,-,-,-,-,-,"$3,000.00","533,135.00"
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA001-F,YCBEA001F,1.25,"Bangor, ME",Winsome Paging Inc.,38,3100,2015,0.35,0,Nextel Spectrum Acquisition Corp.,1,"$2,700","$2,700",-,-,"$3,400.00","533,135.00"
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA001-FF,YCBEA001FF,1.25,"Bangor, ME",Nextel Spectrum Acquisition Corp.,37,22000,22000,-,0,Winsome Paging Inc.,36,"$18,000","$11,700",0.35,-,"$24,000.00","533,135.00"
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA002-D,YCBEA002D,1.25,"Portland, ME",Nextel Spectrum Acquisition Corp.,18,5800,5800,-,0,Motient Communications Company,17,"$4,800","$4,800",-,-,"$6,400.00","694,793.00"
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA002-DD,YCBEA002DD,1.25,"Portland, ME",Motient Communications Company,43,17000,17000,-,0,Nextel Spectrum Acquisition Corp.,42,"$14,000","$14,000",-,-,"$19,000.00","694,793.00"
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA002-E,YCBEA002E,1.25,"Portland, ME",FCC,41,0,0,-,0,Motient Communications Company,41,"$149,000","$149,000",-,-,"$124,000.00","694,793.00"
34,"FCC ""Closed""  800 MHz General Category Auction #34",76,YC-BEA002-EE,YCBEA002EE,1.25,"Portland, ME",Nextel Spectrum Acquisition Corp.,10,17000,17000,-,0,Motient Communications Company,9,"$14,000","$14,000",-,-,"$19,000.00","694,793.00"
