Auction_Desc,Auction_id,Round,bip_id,Block,License Size (Mhz),Major Grouping,Minor Grouping,Market Name,Expr1009,BUs,bidder_name,Entrep,Round of High Bid,bid_amt,net_bid_amt,Bidding Credit,Increments of Bid,Prev High Bidder,Round of Prev High Bid,Prev Gross,Prev Net,Prev Bidding Credit,hhbidder,Number of Bids,MX_Grp,MX_Num,Population,Open or Closed Bidding,OorC
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA004-C3,C ,10,MTA041,BTA004,"Ada, OK",52677,7800,"Cellco Partnership, d/b/a Verizon Wireless", ,55,410000,410000,0,0,"Alaska Native Wireless, L.L.C.",54,"$377,000.00","$282,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,52677,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA004-C4,C ,10,MTA041,BTA004,"Ada, OK",52677,7800,"Alaska Native Wireless, L.L.C.",X,84,369000,276750,0.25,0,"T.K.O. Communications, LLC",76,"$351,000.00","$263,250.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,52677,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA004-C5,C ,10,MTA041,BTA004,"Ada, OK",52677,7800,"T.K.O. Communications, LLC",X,85,375000,281250,0.25,0,"Alaska Native Wireless, L.L.C.",77,"$357,000.00","$267,750.00",0.25,"T.K.O. Communications, LLC",0,FM,0,52677,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA007-C3,C ,10,MTA001,BTA007,"Albany, NY",1028615,340000,"Leap Wireless International, Inc.",X,29,17774000,17774000,0.25,0,"Alaska Native Wireless, L.L.C.",27,"$16,648,000.00","$16,648,000.00",0.25,"Leap Wireless International, Inc.",0,FM,0,1028615,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA007-C4,C ,10,MTA001,BTA007,"Albany, NY",1028615,340000,"NORTHCOAST COMMUNICATIONS, L.L.C.",X,28,16683000,16683000,0.25,0,"Leap Wireless International, Inc.",26,"$15,588,000.00","$15,588,000.00",0.25,"NORTHCOAST COMMUNICATIONS, L.L.C.",0,FM,0,1028615,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA007-C5,C ,10,MTA001,BTA007,"Albany, NY",1028615,340000,"Cellco Partnership, d/b/a Verizon Wireless", ,34,23573000,23573000,0,0,"Alaska Native Wireless, L.L.C.",27,"$22,432,000.00","$16,824,000.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,1028615,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA008-C1,C ,15,MTA039,BTA008,"Albuquerque, NM",688612,417000,"Salmon PCS, LLC",X,21,31063000,31063000,0.25,0,"Alaska Native Wireless, L.L.C.",20,"$28,186,000.00","$28,186,000.00",0.25,"Salmon PCS, LLC",0,FM,0,688612,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA010-C3,C ,10,MTA001,BTA010,"Allentown, PA",686688,182000,"DCC PCS, Inc.",X,40,5433000,5433000,0,0,"Leap Wireless International, Inc.",38,"$4,825,000.00","$4,825,000.00",0.25,"DCC PCS, Inc.",0,FM,0,686688,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA010-C4,C ,10,MTA001,BTA010,"Allentown, PA",686688,182000,"MCG PCS II, Inc.",X,39,5168000,5168000,0.25,0,"DCC PCS, Inc.",37,"$4,832,000.00","$4,832,000.00",0,"MCG PCS II, Inc.",0,FM,0,686688,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA010-C5,C ,10,MTA001,BTA010,"Allentown, PA",686688,182000,"Cellco Partnership, d/b/a Verizon Wireless", ,43,7811000,7811000,0,0,"Leap Wireless International, Inc.",41,"$7,347,000.00","$5,510,250.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,686688,Open,O
