Auction_Desc,Auction_id,Round,bip_id,License Name,bip_desc,License Size (Mhz),BUs,bidder_name,Round of High Bid,bid_amt,net_bid_amt,Bidding Credit,Increments of Bid,Prev High Bidder,Round of Prev High Bid,Prev Gross,Prev Net,Prev Bidding Credit,hhbidder,Number of Bids,Min Acceptable Bid,Population
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA058-B,QABEA058B,Northern Michigan MI,0.1,500,"AerWav, Inc.",25,1700,1700,0,0,"TeleBEEPER of NEW MEXICO, INC",12,"$1,500.00",$975.00,0.35,"AerWav, Inc.",0,"$2,000.00",230066
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA160-E,QABEA160E,LA-Riverside-Orange Cnty CA-AZ,0.1,500,"AerWav, Inc.",25,25000,25000,0,0,"TeleBEEPER of NEW MEXICO, INC",24,"$21,000.00","$13,650.00",0.35,"AerWav, Inc.",0,"$29,000.00",15891818
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-EAG001-F,QAEAG001F,Northeast,0.15,62000,"AerWav, Inc.",3,78000,78000,0,0,FCC,0,$0.00,$0.00,0,"AerWav, Inc.",0,"$90,000.00",41567654
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-EAG004-F,QAEAG004F,Great Lakes,0.15,62000,"AerWav, Inc.",3,78000,78000,0,0,FCC,0,$0.00,$0.00,0,"AerWav, Inc.",0,"$90,000.00",41560906
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA002-E,YCBEA002E,Portland ME,1.25,3500,NEXTEL SPECTRUM ACQUISITION CORP.,19,25000,25000,0,0,"TeleBEEPER of NEW MEXICO, INC",18,"$21,000.00","$13,650.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$29,000.00",694793
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA009-D,YCBEA009D,State College PA,1.25,4000,NEXTEL SPECTRUM ACQUISITION CORP.,21,37000,37000,0,0,"TeleBEEPER of NEW MEXICO, INC",20,"$31,000.00","$20,150.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$43,000.00",798826
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA011-DD,YCBEA011DD,Harrisburg-Lebanon-Carlisle PA,1.25,5100,NEXTEL SPECTRUM ACQUISITION CORP.,19,25000,25000,0,0,"TeleBEEPER of NEW MEXICO, INC",18,"$21,000.00","$13,650.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$29,000.00",1026459
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA018-F,YCBEA018F,Greensboro-Winston-Salem NC-VA,1.25,8000,NEXTEL SPECTRUM ACQUISITION CORP.,25,300000,300000,0,0,"A.R.C., Inc.",24,"$250,000.00","$187,500.00",0.25,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$346,000.00",1604323
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA020-F,YCBEA020F,Norfolk-Virginia Beach VA-NC,1.25,7900,NEXTEL SPECTRUM ACQUISITION CORP.,21,302000,302000,0,0,"A.R.C., Inc.",20,"$252,000.00","$189,000.00",0.25,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$347,000.00",1588174
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA032-D,YCBEA032D,Fort Myers-Cape Coral FL,1.25,2500,NEXTEL SPECTRUM ACQUISITION CORP.,26,59000,59000,0,0,"TeleBEEPER of NEW MEXICO, INC",25,"$49,000.00","$31,850.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$68,000.00",487212
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA033-E,YCBEA033E,Sarasota-Bradenton FL,1.25,3100,NEXTEL SPECTRUM ACQUISITION CORP.,25,61000,61000,0,0,"TeleBEEPER of NEW MEXICO, INC",24,"$51,000.00","$33,150.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$70,000.00",624323
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA034-EE,YCBEA034EE,Tampa-St. Petersburg FL,1.25,10000,NEXTEL SPECTRUM ACQUISITION CORP.,15,49000,49000,0,0,"TeleBEEPER of NEW MEXICO, INC",14,"$41,000.00","$26,650.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$56,000.00",2067959
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA047-FF,YCBEA047FF,Lexington KY-TN-VA-WV,1.25,8700,NEXTEL SPECTRUM ACQUISITION CORP.,10,144000,144000,0,0,Nevada Wireless LLC,9,"$120,000.00","$78,000.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$166,000.00",1731306
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA066-D,YCBEA066D,Fort Wayne IN,1.25,3300,NEXTEL SPECTRUM ACQUISITION CORP.,10,12000,12000,0,0,"TeleBEEPER of NEW MEXICO, INC",9,"$10,100.00","$6,565.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$14,000.00",666421
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA066-EE,YCBEA066EE,Fort Wayne IN,1.25,3300,NEXTEL SPECTRUM ACQUISITION CORP.,23,15000,15000,0,0,"TeleBEEPER of NEW MEXICO, INC",22,"$12,700.00","$8,255.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$17,000.00",666421
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA069-E,YCBEA069E,Evansville-Henderson IN-KY-IL,1.25,4100,"TeleBEEPER of NEW MEXICO, INC",22,23000,14950,0.35,0,NEXTEL SPECTRUM ACQUISITION CORP.,10,"$17,000.00","$17,000.00",0,"TeleBEEPER of NEW MEXICO, INC",0,"$26,000.00",825644
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA069-FF,YCBEA069FF,Evansville-Henderson IN-KY-IL,1.25,4100,"TeleBEEPER of NEW MEXICO, INC",26,23000,14950,0.35,0,NEXTEL SPECTRUM ACQUISITION CORP.,14,"$20,000.00","$20,000.00",0,"TeleBEEPER of NEW MEXICO, INC",0,"$27,000.00",825644
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA085-FF,YCBEA085FF,Lafayette LA,1.25,2800,NEXTEL SPECTRUM ACQUISITION CORP.,13,12000,12000,0,0,"TeleBEEPER of NEW MEXICO, INC",12,"$10,400.00","$6,760.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$14,000.00",554665
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA086-D,YCBEA086D,Lake Charles LA,1.25,2600,NEXTEL SPECTRUM ACQUISITION CORP.,20,24000,24000,0,0,"TeleBEEPER of NEW MEXICO, INC",19,"$20,000.00","$13,000.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$28,000.00",523289
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA088-FF,YCBEA088FF,Shreveport-Bossier City LA-AR,1.25,2800,NEXTEL SPECTRUM ACQUISITION CORP.,19,18000,18000,0,0,"TeleBEEPER of NEW MEXICO, INC",18,"$14,800.00","$9,620.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$21,000.00",555385
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA091-E,YCBEA091E,Fort Smith AR-OK,1.25,2500,NEXTEL SPECTRUM ACQUISITION CORP.,22,23000,23000,0,0,"TeleBEEPER of NEW MEXICO, INC",21,"$19,000.00","$12,350.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$26,000.00",286113
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA097-DD,YCBEA097DD,Springfield IL-MO,1.25,2500,NEXTEL SPECTRUM ACQUISITION CORP.,30,26000,26000,0,0,"TeleBEEPER of NEW MEXICO, INC",29,"$22,000.00","$14,300.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$31,000.00",499681
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA124-EE,YCBEA124EE,Tulsa OK-KS,1.25,6300,"TeleBEEPER of NEW MEXICO, INC",20,23000,14950,0.35,0,NEXTEL SPECTRUM ACQUISITION CORP.,4,"$11,000.00","$11,000.00",0,"TeleBEEPER of NEW MEXICO, INC",0,"$26,000.00",1259636
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA132-FF,YCBEA132FF,Corpus Christi TX,1.25,2500,NEXTEL SPECTRUM ACQUISITION CORP.,28,127000,127000,0,0,"TeleBEEPER of NEW MEXICO, INC",27,"$106,000.00","$68,900.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$150,000.00",500805
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA140-F,YCBEA140F,Pueblo CO-NM,1.25,2500,"TeleBEEPER of NEW MEXICO, INC",17,57000,37050,0.35,0,NEXTEL SPECTRUM ACQUISITION CORP.,16,"$41,000.00","$41,000.00",0,"TeleBEEPER of NEW MEXICO, INC",0,"$66,000.00",247124
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA172-FF,YCBEA172FF,Honolulu HI,1.25,5500,NEXTEL SPECTRUM ACQUISITION CORP.,11,23000,23000,0,0,"TeleBEEPER of NEW MEXICO, INC",10,"$19,000.00","$12,350.00",0.35,NEXTEL SPECTRUM ACQUISITION CORP.,0,"$26,000.00",1108229
FCC Multi-Radio Service Auction #43  **Final**,43,31,YC-BEA173-E,YCBEA173E,Guam-Northern Mariana Islands,1.25,2500,"TeleBEEPER of NEW MEXICO, INC",10,2500,1625,0.35,0,FCC,0,$0.00,$0.00,0,"TeleBEEPER of NEW MEXICO, INC",0,"$2,900.00",176497
