Auction_id,Auction_Desc,bip_id,bid_desc,bidder_name,bid_amt,net_bid_amt
44,Lower 700 MHz Band,WZ-CMA002-C,"Los Angeles-Anaheim, CA","Aloha Partners, L.P.",8299000,5394350
44,Lower 700 MHz Band,WZ-EAG706-D,Pacific,"Aloha Partners, L.P.",6216000,4662000
44,Lower 700 MHz Band,WZ-CMA001-C,"New York-Newark, NY-NJ","Cavalier Group, LLC",6915000,4494750
44,Lower 700 MHz Band,WZ-CMA020-C,"Seattle-Everett, WA",Vulcan Spectrum LLC,3964000,3964000
44,Lower 700 MHz Band,WZ-CMA030-C,"Portland, OR-WA",Vulcan Spectrum LLC,2301000,2301000
44,Lower 700 MHz Band,WZ-CMA018-C,"San Diego, CA","Aloha Partners, L.P.",3334000,2167100
44,Lower 700 MHz Band,WZ-CMA007-C,"San Francisco-Oakland, CA","Aloha Partners, L.P.",3325000,2161250
44,Lower 700 MHz Band,WZ-CMA008-C,"Washington, DC-MD-VA","DataCom Wireless, L.L.C.",2648000,1721200
44,Lower 700 MHz Band,WZ-CMA082-C,"Tacoma, WA",Vulcan Spectrum LLC,1718000,1718000
44,Lower 700 MHz Band,WZ-CMA003-C,"Chicago, IL","DataCom Wireless, L.L.C.",2396000,1557400
44,Lower 700 MHz Band,WZ-CMA075-C,"Austin, TX",LIN Television Corporation,1378000,1378000
44,Lower 700 MHz Band,WZ-CMA027-C,"San Jose, CA",David M. Gates,1898000,1233700
44,Lower 700 MHz Band,WZ-CMA039-C,"Salt Lake City-Ogden, UT",Union Telephone Company,1218000,1218000
44,Lower 700 MHz Band,WZ-CMA012-C,"Miami-Fort Lauderdale, FL","Harbor Wireless, LLC",1676000,1089400
44,Lower 700 MHz Band,WZ-CMA009-C,"Dallas-Fort Worth, TX","Aloha Partners, L.P.",1500000,975000
44,Lower 700 MHz Band,WZ-CMA109-C,"Spokane, WA",Whidbey Telephone Company,1137000,966450
44,Lower 700 MHz Band,WZ-CMA004-C,"Philadelphia, PA","Cavalier Group, LLC",1457000,947050
44,Lower 700 MHz Band,WZ-CMA017-C,"Atlanta, GA","Aloha Partners, L.P.",1447000,940550
44,Lower 700 MHz Band,WZ-CMA093-C,"Las Vegas, NV","Aloha Partners, L.P.",1446000,939900
44,Lower 700 MHz Band,WZ-CMA693-C,Washington 1 - Clallam,Vulcan Spectrum LLC,914000,914000
44,Lower 700 MHz Band,WZ-CMA015-C,"Minneapolis-St. Paul, MN-WI",Redwood County Telephone Company,1186000,889500
44,Lower 700 MHz Band,WZ-CMA005-C,"Detroit-Ann Arbor, MI","Aloha Partners, L.P.",1359000,883350
44,Lower 700 MHz Band,WZ-CMA006-C,"Boston-Brockton-Lowell, MA-NH","Cavalier Group, LLC",1330000,864500
44,Lower 700 MHz Band,WZ-CMA026-C,"Phoenix, AZ","Aloha Partners, L.P.",1324000,860600
44,Lower 700 MHz Band,WZ-CMA010-C,"Houston, TX","Aloha Partners, L.P.",1291000,839150
44,Lower 700 MHz Band,WZ-CMA148-C,"Salem, OR",Vulcan Spectrum LLC,753000,753000
44,Lower 700 MHz Band,WZ-CMA135-C,"Eugene-Springfield, OR",Vulcan Spectrum LLC,750000,750000
44,Lower 700 MHz Band,WZ-CMA013-C,"Pittsburgh, PA","PGTV, Inc.",1139000,740350
44,Lower 700 MHz Band,WZ-CMA350-C,Colorado 3 - Garfield,Union Telephone Company,687000,687000
44,Lower 700 MHz Band,WZ-CMA393-C,Idaho 6 - Clark,Union Telephone Company,572000,572000
44,Lower 700 MHz Band,WZ-CMA159-C,"Provo-Orem, UT",Union Telephone Company,553000,553000
44,Lower 700 MHz Band,WZ-CMA720-C,Wyoming 3 - Lincoln,Union Telephone Company,522000,522000
44,Lower 700 MHz Band,WZ-CMA035-C,"Sacramento, CA","Aloha Partners, L.P.",778000,505700
44,Lower 700 MHz Band,WZ-CMA022-C,"Tampa-St. Petersburg, FL","Aloha Partners, L.P.",750000,487500
44,Lower 700 MHz Band,WZ-CMA038-C,"Providence-Warwick, RI",LIN Television Corporation,486000,486000
44,Lower 700 MHz Band,WZ-CMA032-C,"Hartford-Bristol, CT",LIN Television Corporation,483000,483000
44,Lower 700 MHz Band,WZ-CMA191-C,"Yakima, WA",Vulcan Spectrum LLC,482000,482000
44,Lower 700 MHz Band,WZ-CMA011-C,"St. Louis, MO-IL","Aloha Partners, L.P.",727000,472550
44,Lower 700 MHz Band,WZ-CMA242-C,"Olympia, WA",Vulcan Spectrum LLC,470000,470000
44,Lower 700 MHz Band,WZ-CMA014-C,"Baltimore, MD","Aloha Partners, L.P.",704000,457600
44,Lower 700 MHz Band,WZ-CMA042-C,Bridgeport-Stamford-Danbury CT,LIN Television Corporation,457000,457000
44,Lower 700 MHz Band,WZ-CMA019-C,"Denver-Boulder, CO","Aloha Partners, L.P.",703000,456950
44,Lower 700 MHz Band,WZ-CMA047-C,"Greensboro-Winston-Salem, NC",Lexcom Telephone Company,453000,453000
44,Lower 700 MHz Band,WZ-CMA212-C,"Bremerton, WA",Vulcan Spectrum LLC,430000,430000
44,Lower 700 MHz Band,WZ-CMA214-C,"Richland-Kennewick-Pasco, WA",Vulcan Spectrum LLC,430000,430000
44,Lower 700 MHz Band,WZ-CMA124-C,"Santa Barbara, CA",Lynch 3G Communications Corporation,421000,421000
44,Lower 700 MHz Band,WZ-CMA049-C,New Haven-Waterbury-Meriden CT,LIN Television Corporation,416000,416000
44,Lower 700 MHz Band,WZ-CMA270-C,"Bellingham, WA",Vulcan Spectrum LLC,404000,404000
44,Lower 700 MHz Band,WZ-CMA441-C,Kansas 14 - Reno,"KanOkla Telephone Association, Inc.",467000,396950
44,Lower 700 MHz Band,WZ-CMA024-C,"Kansas City, MO-KS","Aloha Partners, L.P.",610000,396500
44,Lower 700 MHz Band,WZ-CMA060-C,"Orlando, FL","Harbor Wireless, LLC",593000,385450
44,Lower 700 MHz Band,WZ-CMA016-C,"Cleveland, OH","Aloha Partners, L.P.",549000,356850
44,Lower 700 MHz Band,WZ-CMA677-C,Utah 5 - Daggett,"MilkyWay Broadband, LLC",527000,342550
44,Lower 700 MHz Band,WZ-CMA171-C,"Reno, NV",Lynch 3G Communications Corporation,341000,341000
44,Lower 700 MHz Band,WZ-CMA072-C,"West Palm Beach-Boca Raton, FL","Harbor Wireless, LLC",516000,335400
44,Lower 700 MHz Band,WZ-CMA609-C,Oregon 4 - Lincoln,Vulcan Spectrum LLC,325000,325000
44,Lower 700 MHz Band,WZ-CMA021-C,"Milwaukee, WI",Redwood County Telephone Company,430000,322500
44,Lower 700 MHz Band,WZ-CMA089-C,"Wichita, KS","Banks Broadcasting, Inc.",355000,301750
44,Lower 700 MHz Band,WZ-CMA610-C,Oregon 5 - Coos,Vulcan Spectrum LLC,299000,299000
44,Lower 700 MHz Band,WZ-CMA023-C,"Cincinnati, OH-KY-IN","Aloha Partners, L.P.",436000,283400
44,Lower 700 MHz Band,WZ-CMA431-C,Kansas 4 - Marshall,"Blue Valley Tele-Communications, Inc.",375000,281250
44,Lower 700 MHz Band,WZ-CMA073-C,"Oxnard-Simi Valley-Ventura, CA","Aloha Partners, L.P.",425000,276250
44,Lower 700 MHz Band,WZ-CMA523-C,Montana 1 - Lincoln,Ronan Telephone Company,364000,273000
44,Lower 700 MHz Band,WZ-CMA527-C,Montana 5 - Mineral,Ronan Telephone Company,361000,270750
44,Lower 700 MHz Band,WZ-CMA608-C,Oregon 3 - Umatilla,Vulcan Spectrum LLC,266000,266000
44,Lower 700 MHz Band,WZ-CMA698-C,Washington 6 - Pacific,Vulcan Spectrum LLC,260000,260000
