Auction_id,Auction_Desc,bid_id,bip_desc,bidder_name,bid_amt,net_bid_amt
49,Lower 700 MHz Band,WZ-EAG703-D,Southeast,QUALCOMM Incorporated,9458000,9458000
49,Lower 700 MHz Band,WZ-EAG701-D,Northeast,QUALCOMM Incorporated,8246000,8246000
49,Lower 700 MHz Band,WZ-EAG705-D,Central / Mountain,QUALCOMM Incorporated,7845000,7845000
49,Lower 700 MHz Band,WZ-EAG704-D,Great Lakes,QUALCOMM Incorporated,6629000,6629000
49,Lower 700 MHz Band,WZ-EAG702-D,Mid-Atlantic,QUALCOMM Incorporated,5858000,5858000
49,Lower 700 MHz Band,WZ-CMA044-C,"Albany-Schenectady-Troy, NY","Vermont Telephone Company, Inc.",1099000,934150
49,Lower 700 MHz Band,WZ-CMA034-C,"Rochester, NY","Aloha Partners II, L.P.",862000,560300
49,Lower 700 MHz Band,WZ-CMA064-C,"Grand Rapids, MI",LIN Television Corporation,447000,447000
49,Lower 700 MHz Band,WZ-CMA025-C,"Buffalo, NY","Cavalier Group, LLC",639000,415350
49,Lower 700 MHz Band,WZ-CMA055-C,"Worchester-Leominster, MA",Viacel Corporation,620000,403000
49,Lower 700 MHz Band,WZ-CMA048-C,"Toledo, OH-MI","Aloha Partners II, L.P.",586000,380900
49,Lower 700 MHz Band,WZ-CMA053-C,"Syracuse, NY","Aloha Partners II, L.P.",536000,348400
49,Lower 700 MHz Band,WZ-CMA105-C,"Lancaster, PA","D&E Investments, Inc.",327000,327000
49,Lower 700 MHz Band,WZ-CMA091-C,"San Juan-Caguas, PR","Aloha Partners II, L.P.",471000,306150
49,Lower 700 MHz Band,WZ-CMA118-C,"Reading, PA","D&E Investments, Inc.",282000,282000
49,Lower 700 MHz Band,WZ-CMA181-C,"Muskegon, MI",LIN Television Corporation,266000,266000
49,Lower 700 MHz Band,WZ-CMA589-C,Ohio 5 - Hancock,"Lima Directional Paging Co., Inc.",351000,263250
49,Lower 700 MHz Band,WZ-CMA190-C,"Boise City, ID","Banks Broadcasting, Inc.",341000,255750
49,Lower 700 MHz Band,WZ-CMA680-C,Vermont 2 - Addison,"Vermont Telephone Company, Inc.",291000,247350
49,Lower 700 MHz Band,WZ-CMA679-C,Vermont 1 - Franklin,"Vermont Telephone Company, Inc.",282000,239700
49,Lower 700 MHz Band,WZ-CMA078-C,"Lansing-East Lansing, MI","AGRI-VALLEY COMMUNICATIONS, INC.",279000,237150
49,Lower 700 MHz Band,WZ-CMA561-C,New York 3 - Chautauqua,Lynch 3G Comminications Corporation,232000,232000
49,Lower 700 MHz Band,WZ-CMA152-C,"Portland, ME",Whidbey Telephone Company,270000,229500
49,Lower 700 MHz Band,WZ-CMA480-C,Michigan 9 - Cass,LIN Television Corporation,225000,225000
49,Lower 700 MHz Band,WZ-CMA052-C,"Akron, OH","Aloha Partners II, L.P.",346000,224900
49,Lower 700 MHz Band,WZ-CMA158-C,"Lima, OH","Lima Directional Paging Co., Inc.",277000,207750
49,Lower 700 MHz Band,WZ-CMA586-C,Ohio 2 - Sandusky,"Aloha Partners II, L.P.",311000,202150
49,Lower 700 MHz Band,WZ-CMA553-C,New Mexico 1 - San Juan,Lynch 3G Comminications Corporation,192000,192000
49,Lower 700 MHz Band,WZ-CMA128-C,"McAllen-Edinburg-Mission, TX","Aloha Partners II, L.P.",293000,190450
49,Lower 700 MHz Band,WZ-CMA084-C,"Harrisburg, PA","Cavalier Group, LLC",293000,190450
49,Lower 700 MHz Band,WZ-CMA099-C,"York, PA","Cavalier Group, LLC",278000,180700
49,Lower 700 MHz Band,WZ-CMA096-C,"Fort Wayne, IN",LIN Television Corporation,179000,179000
49,Lower 700 MHz Band,WZ-CMA601-C,Oklahoma 6 - Seminole,"Aloha Partners II, L.P.",257000,167050
49,Lower 700 MHz Band,WZ-CMA404-C,Indiana 2 - Kosciusko,LIN Television Corporation,167000,167000
49,Lower 700 MHz Band,WZ-CMA165-C,Fort Smith AR-OK,"Aloha Partners II, L.P.",256000,166400
49,Lower 700 MHz Band,WZ-CMA112-C,"Corpus Christi, TX","Aloha Partners II, L.P.",251000,163150
49,Lower 700 MHz Band,WZ-CMA588-C,Ohio 4 - Mercer,"Aloha Partners II, L.P.",249000,161850
49,Lower 700 MHz Band,WZ-CMA669-C,Texas 18 - Edwards,"Valley Telephone Cooperative, Inc.",190000,161500
49,Lower 700 MHz Band,WZ-CMA670-C,Texas 19 - Atascosa,"Valley Telephone Cooperative, Inc.",189000,160650
49,Lower 700 MHz Band,WZ-CMA187-C,"Anchorage, AK",Whidbey Telephone Company,181000,153850
49,Lower 700 MHz Band,WZ-CMA248-C,"Burlington, VT","Vermont Telephone Company, Inc.",179000,152150
49,Lower 700 MHz Band,WZ-CMA100-C,"Shreveport, LA","Aloha Partners II, L.P.",229000,148850
49,Lower 700 MHz Band,WZ-CMA194-C,"Waco, TX",LIN Television Corporation,140000,140000
49,Lower 700 MHz Band,WZ-CMA058-C,"Allentown-Bethlehem, PA-NJ","Cavalier Group, LLC",213000,138450
49,Lower 700 MHz Band,WZ-CMA585-C,Ohio 1 - Williams,LIN Television Corporation,135000,135000
49,Lower 700 MHz Band,WZ-CMA425-C,Iowa 14 - Kossuth,WCTA Wireless Inc.,157000,133450
49,Lower 700 MHz Band,WZ-CMA120-C,"Huntsville, AL","Corr Wireless Communications, LLC",153000,130050
