BID_TYPE,MARKET,FREQ_BLOCK,ROUND_NUM,BID_AMT,NAME,FCC_ACCOUN,THEDATE,THETIME
High,M001,B,74,442712000,"WirelessCo, L.P.",2028287453,14-2-95,10:19:59
High,M002,B,82,493500000,Pacific Telesis Mobile Service,943212312,21-2-95,10:04:02
High,M003,A,75,372750000,AT&T Wireless PCS Inc.,223330080,14-2-95,15:04:02
High,M003,B,77,385050583,"PCS PRIMECO, L.P.",2022933800,15-2-95,15:40:28
High,M004,A,98,206500000,"WirelessCo, L.P.",2028287453,3-3-95,10:24:22
High,M004,B,97,202150000,Pacific Telesis Mobile Service,943212312,2-3-95,15:07:56
High,M005,A,36,81177000,AT&T Wireless PCS Inc.,223330080,13-1-95,14:37:02
High,M005,B,83,86107000,"WirelessCo, L.P.",2028287453,21-2-95,15:45:00
High,M006,A,39,66616000,AT&T Wireless PCS Inc.,223330080,18-1-95,09:32:44
High,M006,B,41,70907001,BellSouth Personal Communicati,582067615,19-1-95,09:13:45
High,M007,A,100,87500578,"PCS PRIMECO, L.P.",2022933800,6-3-95,10:06:14
High,M007,B,99,88444000,"WirelessCo, L.P.",2028287453,3-3-95,15:51:35
High,M008,A,50,121660000,AT&T Wireless PCS Inc.,223330080,25-1-95,14:31:43
High,M008,B,57,127065892,"WirelessCo, L.P.",2028287453,31-1-95,09:53:16
High,M009,A,36,80951000,AT&T Wireless PCS Inc.,223330080,13-1-95,14:37:02
High,M009,B,37,84995012,"PhillieCo, L.P.",2028287452,17-1-95,09:12:36
High,M010,B,77,211771000,AT&T Wireless PCS Inc.,223330080,15-2-95,15:04:06
High,M011,A,89,198411000,AT&T Wireless PCS Inc.,223330080,24-2-95,15:20:49
High,M011,B,87,184660483,GTE Macro Communications Corpo,582107997,23-2-95,15:11:48
High,M012,A,101,39674673,"WirelessCo, L.P.",2028287453,6-3-95,14:52:07
High,M012,B,88,36600012,American Portable Telecommunic,391706857,24-2-95,10:11:00
High,M013,A,98,89786837,American Portable Telecommunic,391706857,3-3-95,10:05:28
High,M013,B,85,99327723,"PCS PRIMECO, L.P.",2022933800,22-2-95,15:46:44
High,M014,A,110,83888837,American Portable Telecommunic,391706857,13-3-95,09:18:49
High,M014,B,79,82680425,"PCS PRIMECO, L.P.",2022933800,16-2-95,15:46:58
High,M015,A,88,131723000,"WirelessCo, L.P.",2028287453,24-2-95,10:15:05
