Auction_id,Auction_Desc,bip_id,Major Grouping,Minor Grouping,Block,Submarket,License Size (Mhz),bip_desc,BUs,Population,Number of Bids,bidder_name,Round of High Bid,Increments of Bid,bid_amt,Bidding Credit,net_bid_amt
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA262-C5,MTA002,BTA262,C5,0,10,"Los Angeles, CA","8,196,000.00","16,391,590.00",0,"Royal Street Communications, LLC",6,0,374530000,0.25,280897500.00
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA394-F,MTA019,BTA394,F,0,10,"St. Louis, MO","1,437,000.00","2,873,395.00",0,Cellco Partnership d/b/a Verizon Wireless,42,0,141983000,0.00,141983000.00
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA196-C3,MTA014,BTA196,C3,0,10,"Houston, TX","2,523,000.00","5,045,022.00",0,"Vista PCS, LLC",15,0,103104000,0.00,103104000.00
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA196-C4,MTA014,BTA196,C4,0,10,"Houston, TX","2,523,000.00","5,045,022.00",0,"Cricket Licensee (Reauction), Inc.",13,0,94742000,0.00,94742000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA402-C5,MTA002,BTA402,C5,0,10,"San Diego, CA","1,407,000.00","2,813,833.00",0,Cellco Partnership d/b/a Verizon Wireless,13,0,61405000,0.00,61405000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA402-C4,MTA002,BTA402,C4,0,10,"San Diego, CA","1,407,000.00","2,813,833.00",0,"Cricket Licensee (Reauction), Inc.",12,0,55829000,0.00,55829000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA074-C5,MTA006,BTA074,C5,0,10,"Charlotte-Gastonia, NC","1,039,000.00","2,078,083.00",0,Cellco Partnership d/b/a Verizon Wireless,32,0,50315000,0.00,50315000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA084-C3,MTA016,BTA084,C3,0,10,"Cleveland-Akron, OH","1,497,000.00","2,993,610.00",0,"Cook Inlet/VS GSM VII PCS, LLC",53,0,49135000,0.00,49135000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA084-C5,MTA016,BTA084,C5,0,10,"Cleveland-Akron, OH","1,497,000.00","2,993,610.00",0,Cellco Partnership d/b/a Verizon Wireless,52,0,48036000,0.00,48036000
58,"Broadband PCS - C, D, E, F Blocks",CW-BTA324-C4,MTA023,BTA324,C4,0,10,"Norfolk-Virginia Beach, VA","892,000.00","1,784,356.00",0,"Edge Mobile, LLC",50,0,38612000,0.00,38612000
