Auction_id,Auction_Desc,round_num,bidder_id,bidder_name,bip_name,bip_desc,bid_rnd_num,net_bid_amt,bid_amt
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA001-B,Bangor ME,40,"437,000","437,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-BEA001-C,Bangor ME,115,"316,000","316,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA002-B,Portland ME,52,"3,513,000","3,513,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-BEA002-C,Portland ME,85,"2,229,000","2,229,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA003-B,Boston-Worcester MA-NH-RI-VT,48,"76,849,000","76,849,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-BEA003-C,Boston-Worcester MA-NH-RI-VT,35,"30,470,000","30,470,000"
66,Advanced Wireless Services,161,3474327,"Cable One, Inc.",AW-CMA495-A,Mississippi 3 - Bolivar,101,"178,000","178,000"
66,Advanced Wireless Services,161,3474327,"Cable One, Inc.",AW-CMA496-A,Mississippi 4 - Yalobusha,69,"340,000","340,000"
66,Advanced Wireless Services,161,15031388,Daredevil Communications LLC,AW-CMA497-A,Mississippi 5 - Washington,90,"75,750","101,000"
66,Advanced Wireless Services,161,14460646,"LL License Holdings II, LLC",AW-CMA489-A,Minnesota 8 - Lac qui Parle,14,"160,650","189,000"
66,Advanced Wireless Services,161,3474327,"Cable One, Inc.",AW-CMA498-A,Mississippi 6 - Montgomery,1,"113,000","113,000"
66,Advanced Wireless Services,161,14460646,"LL License Holdings II, LLC",AW-CMA490-A,Minnesota 9 - Pipestone,14,"385,900","454,000"
66,Advanced Wireless Services,161,15024532,LCDW Wireless Limited Partnership,AW-CMA491-A,Minnesota 10 - Le Sueur,26,"385,500","514,000"
66,Advanced Wireless Services,161,14993794,Midwest AWS Limited Partnership,AW-CMA492-A,Minnesota 11 - Goodhue,32,"366,750","489,000"
66,Advanced Wireless Services,161,3474327,"Cable One, Inc.",AW-CMA493-A,Mississippi 1 - Tunica,82,"597,000","597,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-CMA494-A,Mississippi 2 - Benton,42,"155,000","155,000"
