auction_id,auction_description,round,item_name,item_description,pwb_amount,net_pwb_amount,pw_bidder,round_of_pwb,previous_pw_bidder,round_of_previous_pwb,previous_pwb_amount,previous_net_pwb_amount
73,700 MHz Band,261,WY-BEA001-A,Bangor ME,"973,000","729,750","King Street Wireless, L.P.",52,"PCS Partners, L.P.",51,"939,000",0
73,700 MHz Band,261,WY-BEA002-A,Portland ME,"2,658,000","1,993,500","King Street Wireless, L.P.",26,"Cavalier Wireless, LLC",25,"2,419,000",0
73,700 MHz Band,261,WY-BEA003-A,Boston-Worcester MA-NH-RI-VT,"313,267,000","313,267,000","MetroPCS 700 MHz, LLC",26,Cellco Partnership d/b/a Verizon Wireless,25,"285,853,000",0
73,700 MHz Band,261,WY-BEA004-A,Burlington VT-NY,"2,311,000","1,733,250","King Street Wireless, L.P.",48,"Vermont Telephone Company, Inc.",47,"2,222,000",0
73,700 MHz Band,261,WY-BEA005-A,Albany-Schenectady-Troy NY,"2,888,000","2,166,000","Cavalier Wireless, LLC",136,"Miller, David",135,"2,778,000",0
73,700 MHz Band,261,WY-BEA006-A,Syracuse NY-PA,"1,200,000","900,000","Cavalier Wireless, LLC",25,Cellco Partnership d/b/a Verizon Wireless,1,"1,143,000",0
73,700 MHz Band,261,WY-BEA007-A,Rochester NY-PA,"1,539,000","1,539,000",CenturyTel Broadband Wireless LLC,48,"Cavalier Wireless, LLC",47,"1,480,000",0
73,700 MHz Band,261,WY-BEA008-A,Buffalo-Niagara Falls NY-PA,"1,025,000","768,750","Cavalier Wireless, LLC",66,"Miller, David",50,"1,005,000",0
73,700 MHz Band,261,WY-BEA009-A,State College PA,"1,144,000","858,000","Cavalier Wireless, LLC",26,Cellco Partnership d/b/a Verizon Wireless,25,"1,040,000",0
73,700 MHz Band,261,WY-BEA010-A,NYC-Long Is. NY-NJ-CT-PA-MA-VT,"429,356,000","429,356,000",Cellco Partnership d/b/a Verizon Wireless,10,QUALCOMM Incorporated,9,"357,797,000",0
73,700 MHz Band,261,WY-BEA011-A,Harrisburg-Lebanon-Carlisle PA,"1,087,000","815,250","Cavalier Wireless, LLC",144,"Miller, David",143,"1,051,000",0
73,700 MHz Band,261,WY-BEA012-A,Phil.-Atl. City PA-NJ-DE-MD,"247,613,000","247,613,000",Cellco Partnership d/b/a Verizon Wireless,18,QUALCOMM Incorporated,16,"206,344,000",0
