auction_id,auction_description,round,bidder_frn,bidder_name,item_name,item_description,round_of_pwb,pwb_amount,net_pwb_amount
78,AWS-1 & Broadband PCS,38,2713683,"Chequamegon Communications Cooperative,",AW-BEA108-B,Wausau WI,13,"2,611,000","2,219,350"
78,AWS-1 & Broadband PCS,38,16216343,"JUSTKAKE Investments, LLC",AW-BEA114-C,Aberdeen SD,9,"31,000","31,000"
78,AWS-1 & Broadband PCS,38,17190224,Club 42 CM Limited Partnership,AW-BEA173-B,Guam-Northern Mariana Islands,30,"220,000","165,000"
78,AWS-1 & Broadband PCS,38,12355764,Pulse Mobile LLC,AW-BEA173-C,Guam-Northern Mariana Islands,32,"139,000","139,000"
78,AWS-1 & Broadband PCS,38,1731470,"Puerto Rico Telephone Company, Inc.",AW-BEA174-B,Puerto Rico-US Virgin Islands,12,"5,824,000","5,824,000"
78,AWS-1 & Broadband PCS,38,7435902,"AST Telecom, LLC",AW-BEA175-B,American Samoa,12,"23,000","23,000"
78,AWS-1 & Broadband PCS,38,1726488,American Samoa Telecommunications Author,AW-BEA175-C,American Samoa,19,"14,000","14,000"
78,AWS-1 & Broadband PCS,38,17866435,"Aquinas Wireless, L.P.",AW-CMA129-A,"South Bend-Mishawaka, IN",10,"960,000","720,000"
78,AWS-1 & Broadband PCS,38,17866435,"Aquinas Wireless, L.P.",AW-CMA207-A,"Jackson, MI",16,"392,000","294,000"
78,AWS-1 & Broadband PCS,38,16927360,"AWS Spectrum, LLC",AW-CMA258-A,"Jacksonville, NC",13,"381,000","323,850"
78,AWS-1 & Broadband PCS,38,15021066,"Stelera Wireless, LLC",AW-CMA324-A,Arkansas 1 - Madison,9,"210,000","210,000"
78,AWS-1 & Broadband PCS,38,15021066,"Stelera Wireless, LLC",AW-CMA331-A,Arkansas 8 - Franklin,9,"190,000","190,000"
78,AWS-1 & Broadband PCS,38,15021066,"Stelera Wireless, LLC",AW-CMA335-A,Arkansas 12 - Ouachita,9,"487,000","487,000"
78,AWS-1 & Broadband PCS,38,16927360,"AWS Spectrum, LLC",AW-CMA377-A,Georgia 7 - Hancock,13,"344,000","292,400"
