Auction ID,Channel,MHz,Frequency,Pops Covered,Price Paid,$ per MHz POP
4,A,30,"[1850,1930]",2779479006,30736417037,0.3686112513730088
4,B,30,"[1870,1950]",2397452711,31116493431,0.43263270342770066
5,C,30,"[1895,1975]",1034188884,44990304,0.0014500995158636804
5,C,40,"[1730,1895,1975,2130]",548938,15027,0.0006843669048234956
35,F,10,"[1890,1970]",92234727,4084018000,4.42785286283766
44,C,12,"[710,740]",334144223,114346500,0.02851725196517912
44,D,6,[716],0,6216000,Infinity
58,C1,15,"[1902,1982]",308701,0,0
58,D,10,"[1865,1945]",39528377,8359000,0.02114683332432293
58,D,20,"[1735,1865,1945,2135]",0,0,NaN
58,E,10,"[1885,1965]",46150842,15099000,0.03271662952541581
58,E,20,"[1740,1885,1965,2140]",293136,793000,0.13526144861088368
58,F,10,"[1890,1970]",7679975,179486000,2.3370648992998024
58,F,30,"[1745,1890,1970,2145]",0,0,NaN
66,A,20,"[1710,2110]",385368693,2713511200,0.35206689714153816
66,B,20,"[1720,2120]",599522236,5292863000,0.441423410357043
66,C,10,"[1730,2130]",673380990,3960615000,0.588168519577602
66,D,10,"[1735,2135]",2179290418,10869504000,0.4987634465889713
66,E,10,"[1740,2140]",5184640682,28620640000,0.5520274548507275
66,F,20,"[1745,2145]",5433815300,72788945000,0.6697775042151323
73,A,12,"[698,728]",352630165,4198365000,0.9921549110808486
73,B,12,"[704,734]",333920157,9381427000,2.3412350735488343
73,C,22,"[746,776]",9446634560,158094801000,0.7607076649932162
73,E,6,[722],322439520,1266892000,0.6548473545261035
78,A,20,"[1710,2110]",2798469,5615000,0.10032271216868938
78,B,20,"[1720,2120]",5626747,16488000,0.1465144958534656
78,C,40,"[1730,1895,1975,2130]",81771,184000,0.05625466241087916
78,C1,15,"[1902,1982]",104691,222000,0.1413684079815839
78,C3,10,"[1895,1975]",719751,1797000,0.24966967743011126
78,C4,10,"[1900,1980]",719751,1609000,0.22354953310242015
78,C5,10,"[1905,1985]",719751,2142000,0.2976029210101827
78,D,20,"[1735,1865,1945,2135]",0,164000,Infinity
78,F,30,"[1745,1890,1970,2145]",122015,634000,0.17320274829597454
92,A,12,"[698,728]",724938,2342000,0.26921842511589494
92,B,12,"[704,734]",2241706,18060000,0.6713636846223368
