Carrier,Band,MHz,Pops Covered,Price Paid,$ per MHz POP
Verizon,"746-757, 776-787",22,316638625,4705669000,0.6755146989870406
Verizon,"824-835, 845-846, 869-880, 890-891",25,1416813,0,0
Verizon,"835-845, 846-849, 880-890, 891-894",25,1670005,0,0
Verizon,"1710-1720, 2110-2120",20,32407,18000,0.027771777702348257
Verizon,"1730-1735, 2130-2135",10,31255041,165173000,0.5284683517132485
Verizon,"1740-1745, 2140-2145",10,58762607,362757000,0.6173262530711069
Verizon,"1745-1755, 2145-2155",20,266645832,3693328000,0.6925531091744198
Verizon,"1850-1865, 1930-1945",30,16041928,228015002,0.47378968828850665
Verizon,"1865-1870, 1945-1950",10,14092706,264000,0.0018733094978352631
Verizon,"1870-1885, 1950-1965",30,36951459,629509537,0.567870709336087
Verizon,"1885-1890, 1965-1970",10,10635368,478000,0.004494437804126759
Verizon,"1890-1895, 1970-1975",10,37101564,399148000,1.075825267096557
Verizon,"1895-1910, 1975-1990",30,44826759,2730090,0.0020301043847492967
"Access 700, LLC","757-758, 787-788",2,144353876,0,0
"Chariton Valley Communication Corporation, Inc.","746-757, 776-787",22,94703104,2735645000,1.3130245445809252
Rockford MSA Limited Partnership,"746-757, 776-787",22,60531823,1109715000,0.8333069848084851
Baldwin Nashville Telephone,"1740-1745, 2140-2145",10,60531823,356780000,0.5894089791414344
Baldwin Nashville Telephone,"1850-1865, 1930-1945",30,3332399,22100031,0.22106227375533363
Sprint,"1850-1865, 1930-1945",30,183760188,1956347290,0.35487325651480794
Sprint,"1865-1870, 1945-1950",10,90661411,0,0
Sprint,"1870-1885, 1950-1965",30,162656421,2104366920,0.4312498920654353
Sprint,"1885-1890, 1965-1970",10,32754423,216000,0.0006594529233502297
Sprint,"1890-1895, 1970-1975",10,8225441,98139000,1.1931153600153475
Sprint,"1895-1910, 1975-1990",30,44232957,1746664,0.0013162613870316953
Sprint,"1910-1915, 1990-1995",10,322439519,0,0
Sprint,"2305-2310, 2350-2355",10,61543295,0,0
Sprint,"2310-2315, 2355-2360",10,72707977,0,0
Sprint,2496-2690,194,375547,0,0
Clearwire,2496-2690,194,284458286,0,0
Daredevil Communications,"1710-1720, 2110-2120",20,211498,103000,0.024350112057797236
Daredevil Communications,"1730-1735, 2130-2135",10,832512,411000,0.04936865774907749
Daredevil Communications,"1745-1755, 2145-2155",20,120893071,1188369000,0.491495910464546
"NBVDS, LLC","746-757, 776-787",22,84893008,2350941000,1.258772154067795
"NBVDS, LLC","1850-1865, 1930-1945",30,14645678,87500578,0.19914994262015956
"NBVDS, LLC","1890-1895, 1970-1975",10,173477,0,0
